iter	Passed	Remaining
0	1	149
1	2	139
2	4	133
3	5	124
4	6	124
5	7	123
6	9	121
7	10	120
8	11	118
9	13	117
10	14	116
11	15	115
12	17	114
13	18	112
14	19	111
15	20	109
16	22	108
17	23	107
18	24	104
19	25	102
20	26	100
21	27	98
22	28	96
23	29	94
24	30	91
25	31	89
26	32	87
27	33	85
28	34	83
29	34	81
30	35	79
31	36	77
32	37	75
33	38	73
34	38	72
35	39	70
36	40	68
37	41	67
38	41	65
39	42	63
40	43	62
41	43	60
42	44	58
43	45	57
44	45	55
45	46	54
46	47	53
47	47	51
48	48	50
49	49	49
50	50	48
51	50	47
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	39
58	55	38
59	56	37
60	57	36
61	57	35
62	58	34
63	59	33
64	60	32
65	60	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	65	25
72	66	24
73	66	23
74	67	22
75	68	21
76	69	20
77	69	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	15
83	74	14
84	74	13
85	75	12
86	76	11
87	77	10
88	77	9
89	78	8
90	79	7
91	80	6
92	80	6
93	81	5
94	82	4
95	82	3
96	83	2
97	84	1
98	85	0
99	85	0
