iter	Passed	Remaining
0	0	840
1	1	855
2	2	806
3	3	775
4	3	751
5	4	737
6	5	741
7	5	736
8	6	736
9	7	729
10	8	721
11	8	715
12	9	709
13	10	704
14	10	703
15	11	702
16	12	709
17	13	729
18	14	739
19	15	737
20	15	731
21	16	727
22	16	722
23	17	716
24	18	712
25	18	708
26	19	705
27	20	703
28	21	708
29	21	706
30	22	704
31	23	701
32	23	700
33	24	698
34	25	695
35	25	694
36	26	692
37	27	694
38	28	695
39	28	693
40	29	690
41	30	687
42	30	684
43	31	682
44	32	679
45	32	677
46	33	674
47	33	671
48	34	669
49	35	667
50	35	665
51	36	662
52	36	660
53	37	657
54	38	655
55	38	653
56	39	652
57	40	650
58	40	648
59	41	646
60	42	652
61	43	656
62	44	656
63	44	654
64	45	652
65	45	649
66	46	648
67	47	646
68	47	644
69	48	642
70	48	640
71	49	639
72	50	637
73	50	635
74	51	633
75	52	632
76	52	630
77	53	628
78	53	627
79	54	625
80	54	623
81	55	622
82	55	618
83	57	627
84	58	631
85	59	633
86	60	632
87	60	631
88	61	629
89	62	628
90	62	626
91	63	625
92	64	624
93	64	622
94	65	621
95	65	619
96	66	618
97	67	617
98	67	615
99	68	614
100	68	612
101	69	611
102	70	609
103	70	608
104	71	608
105	72	609
106	73	611
107	74	613
108	75	614
109	75	614
110	77	624
111	78	623
112	79	622
113	79	621
114	80	623
115	81	623
116	82	620
117	82	619
118	83	618
119	84	617
120	84	616
121	85	614
122	86	613
123	87	614
124	87	614
125	88	615
126	89	614
127	90	613
128	90	612
129	91	610
130	91	609
131	92	608
132	93	607
133	93	606
134	94	604
135	95	603
136	95	602
137	96	601
138	96	599
139	97	598
140	98	597
141	98	594
142	99	593
143	99	592
144	100	592
145	101	594
146	102	594
147	103	594
148	103	593
149	104	592
150	105	591
151	105	590
152	106	588
153	107	587
154	107	586
155	108	585
156	108	584
157	109	583
158	110	582
159	110	580
160	111	578
161	111	577
162	112	576
163	112	575
164	113	574
165	114	573
166	114	572
167	115	571
168	116	572
169	117	572
170	117	572
171	118	571
172	119	570
173	119	569
174	120	568
175	121	566
176	121	565
177	122	564
178	122	563
179	123	562
180	124	561
181	124	560
182	125	559
183	126	558
184	126	557
185	127	556
186	127	555
187	128	554
188	129	553
189	129	552
190	130	552
191	131	552
192	131	551
193	132	551
194	133	550
195	134	549
196	134	548
197	135	547
198	135	546
199	136	545
200	137	544
201	137	544
202	138	543
203	138	542
204	139	541
205	140	540
206	140	539
207	141	538
208	141	537
209	142	536
210	143	535
211	143	534
212	144	533
213	145	533
214	145	532
215	146	532
216	147	531
217	147	530
218	148	529
219	149	528
220	149	528
221	150	527
222	151	526
223	151	525
224	152	524
225	152	523
226	153	522
227	154	522
228	154	521
229	155	520
230	156	519
231	156	518
232	157	517
233	157	516
234	158	516
235	159	515
236	159	514
237	160	513
238	161	512
239	161	511
240	162	511
241	162	510
242	163	509
243	164	509
244	165	508
245	165	508
246	166	507
247	167	506
248	167	505
249	168	504
250	168	504
251	169	503
252	170	502
253	170	501
254	171	500
255	171	499
256	172	498
257	173	497
258	173	496
259	174	496
260	174	495
261	175	495
262	176	494
263	177	493
264	177	493
265	178	492
266	179	491
267	179	490
268	180	489
269	180	488
270	181	488
